citing_oid	citing_name	cite	cited_oid	cited_row_name	cited_date	pin	max	citing_context
16232	Haugland v. City of Bismarck (cross ref. 20110077)	2012 ND 128	18865	Matter of Wedmore	2012-07-12	64	2	ocation of diverted tax increment funds to the proper recipients in accordance with N.D.C.C. § 40-58-20(10).” 2012 ND 128, ¶¶ 62-64, 818 N.W.2d 660. [
15752	State v. Schmidt	2010 ND 10	15330	State v. Thompson	2010-01-12	88	34	it was entered \*599 based on a guilty plea, rather than after a bench trial. *See, e.g., State v. Thompson,*2010 ND 10, ¶ 88, 777 N.W.2d 617. [¶ 19
16372	Abelmann, et al. v. SmartLease USA, L.L.C.	2008 ND 198	18666	Matter of Hanson	2008-11-19	52	3	e days after the rent was due, or violated material terms of the written lease agreement. [¶ 16] In *VND,* 2008 ND 198, ¶¶ 14-52, 672 N.W.2d 445, th
13766	Argabright v. Rodgers, et al.	1999 ND 89	12889	Schlossman & Gunkelman, Inc. v. Robert Tallman and Vincent Murphy	1999-05-19	87	39	greement and substantially performs is entitled to a commission. *Schlossman & Gunkelman, Inc. v. Tollman,* 1999 ND 89, ¶ 87, 593 N.W.2d 374. In tha
13438	State v. Shafer-Imhoff	1997 ND 112	12448	State v. Eldred	1997-06-03	83	37	tes to a central subject in the case, and it affects a substantial right of the accused. *State v. Eldred,* 1997 ND 112, ¶ 83, 564 N.W.2d 283. [¶ 21
15151	State v. Gibbs	2007 ND 146	14812	State v. Tibor	2007-08-30	81	36	rict court has discretion under N.D.R.Ev. 403 to exclude evidence that is cumulative. *See State v. Tibor,* 2007 ND 146, ¶ 81, 738 N.W.2d 492; *Stat
15865	Hale v. State of North Dakota, et al.	2012 ND 128	18865	Matter of Wedmore	2012-07-12	40	2	and not judicial determination, and we are concerned here only with the constitutionality” of those statutes. 2012 ND 128, ¶ 40, 818 N.W.2d 660. We con
16253	In re S.B., et al.	2009 ND 205	15306	Hartleib v. Simes	2009-12-15	82	48	a grandparent, the parent’s decision is presumed to be in the child’s best interests. *See Hartleib v. Simes,*2009 ND 205, ¶ 82, 776 N.W.2d 217 (“[N]ot
15760	Richard v. Washburn Public Schools	2008 ND 44	18678	State v. Tibor (Consolidated w/ 20070190 & 20070191)	2008-03-20	28	2	"duct of an employee from causing harm to other employees or third persons."" Koehler v. County of Grand Forks, 2008 ND 44, ¶28, 658 N.W.2d 741; see als"
13864	Krank v. Krank	2000 ND 118	18345	Nelson, et al. v. Nelson	2000-06-08	31	5	d areas, may involve matters of discretion subject to the abuse of discretion standard of review. *Schiff,* 2000 ND 118, ¶ 31, 611 N.W.2d 191. A prop
16385	State v. Horn	2007 ND 182	18611	Estate of Truax	2007-11-19	25	3	outcome of the proceedings would have been different' if the evidence had been disclosed. *State v. Muhle,* 2007 ND 182, ¶ 25, 737 N.W.2d 647 (intern
