oid	case_name	date	missing_para	class	pdf_len	pdf_text_head
12571	State v. Johnson  (CROSS-REFERENCE W	1997-12-08	15	SIGNATURE	107	Herbert L. Meschke Mary Muehlen Maring Dale V. Sandstrom M. Richard Geiger, D.J. Gerald W. VandeWall
12577	Buckingham, et al. v. Weston Village	1997-12-09	17	SIGNATURE	120	Mary Muehlen Maring, Acting Chief Justice William A. Neumann Dale V. Sandstrom Herbert L. Meschke Ge
12580	Estate of Schmidt (cross-ref. w/9302	1997-12-23	16	SIGNATURE	114	Gerald W. VandeWalle, C.J. Herbert L. Meschke Mary Muehlen Maring Ralph J. Erickstad, S.J. William W
12583	Struksnes, et al. v. Kevin's Plumbin	1997-12-23	17	SIGNATURE	107	Dale V. Sandstrom Mary Muehlen Maring William A. Neumann M. Richard Geiger, D.J. Gerald W. VandeWall
12604	Zimmerman v. Minot Public School Dis	1998-01-21	23	SUBSTANTIVE	140	The judgment is affirmed. Mary Muehlen Maring William A. Neumann Dale V. Sandstrom Ronald E. Goodman
12605	Wodrich v. Bauske	1998-01-21	25	SUBSTANTIVE	346	The trial court also specifically found, and the majority ignores: “3) M.B. has difficulty in school
12605	Wodrich v. Bauske	1998-01-21	26	SUBSTANTIVE	158	Even “on reconsideration,” Wodrich failed to present any admissible evidence as to meeting Mitchell’
12605	Wodrich v. Bauske	1998-01-21	27	SUBSTANTIVE	155	Sadly, the majority continues its inexorable drive to substitute completely “the happiness of the cu
12605	Wodrich v. Bauske	1998-01-21	28	SIGNATURE	0	
12605	Wodrich v. Bauske	1998-01-21	29	SUBSTANTIVE	70	I would affirm the decision of the trial court. Dale V. Sandstrom 10
12605	Wodrich v. Bauske	1998-01-21	30	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	31	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	32	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	33	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	34	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	35	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	36	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	37	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	40	PDF_LACKS_MARKER		
12605	Wodrich v. Bauske	1998-01-21	41	PDF_LACKS_MARKER		
