citing_oid	citing_date	class	bad_cite	good_cite	pdf_verdict	context
12567	1997-12-02	NW_DIGIT_FLIP	569 N.W.2d 568	569 N.W.2d 563	NEITHER	oes not need to discuss the other elements. *Braaten v. Deere & Co., et al.,* 1997 ND 202, ¶ 19, 569
12608	1998-01-27	ND_DIGIT_FLIP	1997 ND 281	1997 ND 231	VERIFIED	aterial fact is presented, it is presumed the evidence does not exist. *Miller,*1997 ND 281, ¶ 15, 5
12590	1998-02-12	ND_DIGIT_FLIP	1997 ND 68	1997 ND 58	VERIFIED	but not all, of one person’s disputes in an estate. 2 *Zimmerman,* *207 1997 ND 68, ¶ 5, 561 N.W.2d 
12619	1998-03-05	ND_DIGIT_FLIP	1997 ND 38	1997 ND 33	VERIFIED	properly consider evidence of domestic violence. [¶ 8] In *Huesers v. Huesers,*1997 ND 38, ¶¶ 2, 3, 
12634	1998-03-05	NW_DIGIT_FLIP	569 N.W.2d 846	559 N.W.2d 846	VERIFIED	is a question of law, fully reviewable on appeal. *Nodak Mut. Ins. Co. v. Heim,*1997 ND 36, ¶ 12, 56
12645	1998-03-30	NW_DIGIT_FLIP	659 N.W.2d 538	559 N.W.2d 538	VERIFIED	ulable suspicion the motorist has violated or is violating the law. *Kenner,* 1997 ND 1, ¶ 8, 659 N.
12725	1998-07-16	NW_DIGIT_FLIP	567 N.W.2d 838	567 N.W.2d 833	VERIFIED	see, *e.g., McDaniel v.* *644 *North Dakota Workers Compensation Bureau,* 1997 ND 154, ¶ 14, 567 N.W
12736	1998-08-18	NW_DIGIT_FLIP	670 N.W.2d 195	570 N.W.2d 195	NEITHER	ng Clark not guilty of murder, but guilty of manslaughter.” *State v. Clark,* 1997 ND 199, ¶2, 670 N
12756	1998-09-29	NW_DIGIT_FLIP	567 N.W.2d 883	567 N.W.2d 833	VERIFIED	for benefits, *see, e.g., McDaniel v. North Dakota Workers Compensation Bureau,*1997 ND 154, ¶ 17, 5
12863	1999-04-06	NW_DIGIT_FLIP	683 N.W.2d 631	583 N.W.2d 631	VERIFIED	our interpretation of N.D.C.C. § 39-06-09. As we stated in *Rydberg v. Johnson,*1998 ND 160, ¶ 6, 68
12863	1999-04-06	NW_DIGIT_FLIP	674 N.W.2d 838	574 N.W.2d 838	VERIFIED	ntent of the legislature. *See, e.g., Singha v. State Bd. of Medical Examiners,*1998 ND 42, ¶ 16, 67
12865	1999-04-06	NW_DIGIT_FLIP	683 N.W.2d 804	583 N.W.2d 804	VERIFIED	d we decline to address it on appeal. *See, e.g., Ohio Cas. Ins. Co. v. Horner,*1998 ND 168, ¶ 26, 6
13013	1999-10-20	NW_DIGIT_FLIP	587 N.W.2d 178	587 N.W.2d 173	VERIFIED	the disputed facts would not alter the result. *Smith v. Land O’Lakes, Inc.,* 1998 ND 219, ¶9, 587 N
13013	1999-10-20	NW_DIGIT_FLIP	588 N.W.2d 385	583 N.W.2d 385	VERIFIED	ansportation,* 1999 ND 2, ¶ 10, 589 N.W.2d 201. *See also Messiha v. State,* 1998 ND 149, ¶21, 588 N
13034	1999-12-01	NW_DIGIT_FLIP	580 N.W.2d 578	580 N.W.2d 573	VERIFIED	nity to observe the candor and demeanor of the witnesses. *In Interest of L.F.,*1998 ND 129, ¶ 12, 5
13034	1999-12-01	NW_DIGIT_FLIP	584 N.W.2d 858	584 N.W.2d 853	VERIFIED	reasonable prediction of continued or future deprivation. *In Interest of A.S.,*1998 ND 181, ¶ 19, 5
13048	1999-12-01	NW_DIGIT_FLIP	568 N.W.2d 799	563 N.W.2d 799	VERIFIED	a brief are insufficient to raise an issue of material fact. *L.C. v. R.P.,* 1997 ND 96, ¶ 6, 568 N.
13057	1999-12-23	NW_DIGIT_FLIP	560 N.W.2d 908	560 N.W.2d 903	VERIFIED	bused its discretion in not considering the factors created in *Stout v. Stout,*1997 ND 61, 560 N.W.
13090	2000-02-22	NW_DIGIT_FLIP	575 N.W.2d 208	575 N.W.2d 203	VERIFIED	iency of the evidence for a jury verdict is very limited. *State v. Esparza,* 1998 ND 13, ¶ 17, 575 
13099	2000-03-21	NW_DIGIT_FLIP	587 N.W.2d 158	587 N.W.2d 153	VERIFIED	in the communication. 1 In *Scott v. North Dakota Workers Compensation Bureau,*1998 ND 221, ¶ 10, 58
13156	2000-05-11	ND_DIGIT_FLIP	2000 ND 38	2000 ND 33	VERIFIED	appellant of a fair hearing. *Siewert v. North Dakota Workers Comp. Bureau,* 2000 ND 38, ¶ 18, 606 N
13163	2000-05-25	NW_DIGIT_FLIP	603 N.W.2d 62	603 N.W.2d 52	VERIFIED	ion of fact for the trier of fact. *158 *Stout v. Fisher Industries, Inc.,* 1999 ND 218, ¶ 11, 603 N
13204	2000-07-07	ND_DIGIT_FLIP	1998 ND 158	1998 ND 153	VERIFIED	trict court correctly determined there were no genuine issues of material fact. 1998 ND 158, 583 N.W
13230	2000-08-31	NW_DIGIT_FLIP	690 N.W.2d 454	590 N.W.2d 454	VERIFIED	ole statute. N.D.C.C. §§ 1-02-07 and 1-02-38(2); *Narum v. Faxx Foods, Inc.,* 1999 ND 45, ¶ 18, 690 
13256	2000-12-07	ND_DIGIT_FLIP	1997 ND 86	1997 ND 36	VERIFIED	any doubt about an insurer’s duty to defend in favor of the insured. *Heim,* 1997 ND 86, ¶ 11, 559 N
13261	2000-12-07	NW_DIGIT_FLIP	601 N.W.2d 266	601 N.W.2d 256	VERIFIED	tody, entitling the movant to an evidentiary hearing. *See Quarne v. Quarne,* 1999 ND 188, ¶ 12, 601
18361	2000-12-21	ND_DIGIT_FLIP	2000 ND 215	2000 ND 211	NO_PDF	"-12-21 citations: - ""2000 ND 215"" docket_number: ""20000171"" --- State v. Lee, 2000 ND 215, 622 N.W.2"
13295	2001-01-30	ND_DIGIT_FLIP	1998 ND 88	1998 ND 83	VERIFIED	pouse and of the supporting spouse’s needs and ability to pay. *Young v. Young,*1998 ND 88, ¶ 7, 578
13297	2001-01-30	ND_DIGIT_FLIP	1999 ND 180	1999 ND 130	VERIFIED	ry word, phrase, and sentence in a statute. *Treiber v. Citizens State Bank,* 1999 ND 180, ¶ 17, 598
13301	2001-01-30	ND_DIGIT_FLIP	1999 ND 138	1999 ND 133	VERIFIED	h have been thoroughly briefed and argued. *Midwest Cas. Ins. Co. v. Whitetail,*1999 ND 138, 596 N.W
13310	2001-02-02	ND_DIGIT_FLIP	1998 ND 208	1998 ND 203	VERIFIED	ion such fluctuations were contemplated in the previous modification. *Schmitz,*1998 ND 208, ¶ 10, 5
13331	2001-03-07	ND_DIGIT_FLIP	1999 ND 165	1999 ND 155	VERIFIED	surer continued its investigation. *See Gullickson v. Torkelson Bros., Inc.,* 1999 ND 165, ¶¶6, 10, 
13340	2001-03-20	NW_DIGIT_FLIP	605 N.W.2d 158	605 N.W.2d 153	VERIFIED	uirements for the fair and efficient adjudication of the controversy. *Koch,* 2000 ND 15, ¶10, 605 N
13351	2001-04-12	NW_DIGIT_FLIP	580 N.W.2d 578	580 N.W.2d 573	VERIFIED	nity to observe the candor and demeanor of the witnesses. *In Interest of L.F.,*1998 ND 129, ¶ 12, 5
18382	2001-07-13	ND_DIGIT_FLIP	2000 ND 213	2000 ND 211	PDF_HAS_BAD	n earlier post-judgment order and judgment in Matrix Props. Corp. v. TAG Invs., 2000 ND 213, 622 N.W
13429	2001-08-29	ND_DIGIT_FLIP	1999 ND 86	1999 ND 36	VERIFIED	scretion subject to the abuse of discretion standard. *Buchholz v. Buchholz,* 1999 ND 86, ¶ 11, 590 
13438	2001-08-29	NW_DIGIT_FLIP	613 N.W.2d 603	613 N.W.2d 503	VERIFIED	face of the statute. *N.D. Securities Commissioner v. Juran and Moody, Inc.,* 2000 ND 136, ¶ 6, 613 
13449	2001-10-16	NW_DIGIT_FLIP	634 N.W.2d 627	634 N.W.2d 527	NEITHER	oral argument with *City of West Fargo v. Ross. City of West Fargo v. Ross,* 2001 ND 163, 634 N.W.2d
13520	2002-02-20	NW_DIGIT_FLIP	589 N.W.2d 858	589 N.W.2d 358	VERIFIED	ty is one of law, factual findings are necessary for the determination. *Weber,*1999 ND 11, ¶ 8, 589
13580	2002-05-17	ND_DIGIT_FLIP	2000 ND 213	2000 ND 211	PDF_HAS_BAD	terim, on December 12, 2000, in *Matrix Properties Corp. v. TAG Investments,* 2000 ND 213, 622 N.W.2
13580	2002-05-17	ND_DIGIT_FLIP	2000 ND 213	2000 ND 211	PDF_HAS_BAD	ered conveyance of the land. [¶ 26] TAG misreads a statement in *Matrix II,* 2000 ND 213, ¶ 1, 622 N
13586	2002-06-10	NW_DIGIT_FLIP	568 N.W.2d 400	563 N.W.2d 400	VERIFIED	atka, 2000* ND 210, ¶ 4, 619 N.W.2d 852; *Symington v. Walle Mut. Ins. Co.,* 1997 ND 93, ¶ 5, 568 N.
18416	2002-07-16	ND_DIGIT_FLIP	2000 ND 213	2000 ND 211	PDF_HAS_BAD	tments, 2000 ND 88, 609 N.W.2d 737; Matrix Properties Corp. v. TAG Investments, 2000 ND 213, 622 N.W
13615	2002-08-15	ND_DIGIT_FLIP	2001 ND 161	2001 ND 151	VERIFIED	conceived; and (3) conception took place on Fort Berthold Reservation. *See* 2001 ND 161, ¶¶2, 18, 6
13615	2002-08-15	NW_DIGIT_FLIP	683 N.W.2d 157	633 N.W.2d 157	VERIFIED	is void as a matter of law. *See McKenzie County Social Service Bd. v. C.G.,* 2001 ND 151, ¶ 10, 683
